[01-Aug-2014 10:31:07 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:31:07 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:31:07 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:31:07 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:31:07 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:31:07 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:31:07 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:29 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:29 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:29 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:32 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:32 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:32 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:33 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:33 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:33 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:34 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:34 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:34 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:35 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:35 America/Sao_Paulo] PHP Notice:  A non well formed numeric value encountered in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:35 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:36 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:38 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:38 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:38 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:38 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:38 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:38 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:41:42 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
